ticker,feature,max_repeat_run,max_repeat_span_days
,nz_labor_tax_employee_social_security_contributions_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_employee_social_security_contributions_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_employee_social_security_contributions_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_employee_social_security_contributions_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_employees'_compulsory_social_security_contributions_national_currency_single_person_2_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_employees'_compulsory_social_security_contributions_national_currency_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_employees'_compulsory_social_security_contributions_national_currency_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_employees'_compulsory_social_security_contributions_national_currency_single_person_no_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_employees'_compulsory_social_security_contributions_payable_on_gross_earnings_national_currency_single_person_2_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_employees'_compulsory_social_security_contributions_payable_on_gross_earnings_national_currency_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_employees'_compulsory_social_security_contributions_payable_on_gross_earnings_national_currency_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_employees'_compulsory_social_security_contributions_payable_on_gross_earnings_national_currency_single_person_no_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_employer_social_security_contributions_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_employer_social_security_contributions_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_employer_social_security_contributions_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_employer_social_security_contributions_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_employers'_compulsory_social_security_contributions_national_currency_single_person_2_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_employers'_compulsory_social_security_contributions_national_currency_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_employers'_compulsory_social_security_contributions_national_currency_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_employers'_compulsory_social_security_contributions_national_currency_single_person_no_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_gross_earnings_before_taxes_national_currency_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_gross_earnings_before_taxes_national_currency_single_person_no_children_100%_of_average_wage,1,0.0
,nz_labor_tax_gross_earnings_before_taxes_national_currency_single_person_no_children_167%_of_average_wage,1,0.0
,nz_labor_tax_gross_earnings_before_taxes_national_currency_single_person_no_children_67%_of_average_wage,1,0.0
,nz_labor_tax_income_tax_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_income_tax_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,1,0.0
,nz_labor_tax_income_tax_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,1,0.0
,nz_labor_tax_income_tax_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,1,0.0
,nz_labor_tax_labour_costs_national_currency_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_labour_costs_national_currency_single_person_no_children_100%_of_average_wage,1,0.0
,nz_labor_tax_labour_costs_national_currency_single_person_no_children_167%_of_average_wage,1,0.0
,nz_labor_tax_labour_costs_national_currency_single_person_no_children_67%_of_average_wage,1,0.0
,nz_labor_tax_marginal_tax_wedge_of_the_principal_earner_percentage_of_labour_costs_single_person_2_children_67%_of_average_wage,5,1461.0
,nz_labor_tax_marginal_tax_wedge_of_the_principal_earner_percentage_of_labour_costs_single_person_no_children_100%_of_average_wage,11,3653.0
,nz_labor_tax_marginal_tax_wedge_of_the_principal_earner_percentage_of_labour_costs_single_person_no_children_167%_of_average_wage,14,4748.0
,nz_labor_tax_marginal_tax_wedge_of_the_principal_earner_percentage_of_labour_costs_single_person_no_children_67%_of_average_wage,10,3288.0
,nz_labor_tax_net_personal_average_tax_rate_percentage_of_gross_wage_earnings_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_net_personal_average_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_100%_of_average_wage,1,0.0
,nz_labor_tax_net_personal_average_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_167%_of_average_wage,1,0.0
,nz_labor_tax_net_personal_average_tax_rate_percentage_of_gross_wage_earnings_single_person_no_children_67%_of_average_wage,1,0.0
,nz_labor_tax_net_personal_marginal_tax_rate_of_the_principal_earner_percentage_of_gross_wage_earnings_single_person_2_children_67%_of_average_wage,5,1461.0
,nz_labor_tax_net_personal_marginal_tax_rate_of_the_principal_earner_percentage_of_gross_wage_earnings_single_person_no_children_100%_of_average_wage,11,3653.0
,nz_labor_tax_net_personal_marginal_tax_rate_of_the_principal_earner_percentage_of_gross_wage_earnings_single_person_no_children_167%_of_average_wage,14,4748.0
,nz_labor_tax_net_personal_marginal_tax_rate_of_the_principal_earner_percentage_of_gross_wage_earnings_single_person_no_children_67%_of_average_wage,10,3288.0
,nz_labor_tax_standard_tax_allowances_national_currency_single_person_2_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_standard_tax_allowances_national_currency_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_standard_tax_allowances_national_currency_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_standard_tax_allowances_national_currency_single_person_no_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_state_and_local_taxes_national_currency_single_person_2_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_state_and_local_taxes_national_currency_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_state_and_local_taxes_national_currency_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_state_and_local_taxes_national_currency_single_person_no_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_take_home_pay_national_currency_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_take_home_pay_national_currency_single_person_no_children_100%_of_average_wage,1,0.0
,nz_labor_tax_take_home_pay_national_currency_single_person_no_children_167%_of_average_wage,1,0.0
,nz_labor_tax_take_home_pay_national_currency_single_person_no_children_67%_of_average_wage,1,0.0
,nz_labor_tax_tax_credits_national_currency_single_person_2_children_67%_of_average_wage,17,5844.0
,nz_labor_tax_tax_credits_national_currency_single_person_no_children_100%_of_average_wage,15,5113.0
,nz_labor_tax_tax_credits_national_currency_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_tax_credits_national_currency_single_person_no_children_67%_of_average_wage,12,4017.0
,nz_labor_tax_tax_credits_or_cash_transfers_included_in_taxable_income_national_currency_single_person_2_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_tax_credits_or_cash_transfers_included_in_taxable_income_national_currency_single_person_no_children_100%_of_average_wage,25,8766.0
,nz_labor_tax_tax_credits_or_cash_transfers_included_in_taxable_income_national_currency_single_person_no_children_167%_of_average_wage,25,8766.0
,nz_labor_tax_tax_credits_or_cash_transfers_included_in_taxable_income_national_currency_single_person_no_children_67%_of_average_wage,25,8766.0
,nz_labor_tax_total_payments_to_general_government_national_currency_single_person_2_children_67%_of_average_wage,1,0.0
,nz_labor_tax_total_payments_to_general_government_national_currency_single_person_no_children_100%_of_average_wage,1,0.0
,nz_labor_tax_total_payments_to_general_government_national_currency_single_person_no_children_167%_of_average_wage,1,0.0
,nz_labor_tax_total_payments_to_general_government_national_currency_single_person_no_children_67%_of_average_wage,1,0.0
,nz_labor_unemployment_age15_plus_female,0,0.0
,nz_labor_unemployment_age15_plus_male,0,0.0
,nz_labor_unemployment_age15_plus_total,0,0.0
,nz_labor_unemployment_age15to24_male,0,0.0
,nz_labor_unemployment_age15to64_female,1,0.0
,nz_labor_unemployment_age15to64_male,1,0.0
,nz_labor_unemployment_age15to64_total,1,0.0
,nz_labor_unemployment_not_worked_age15_plus_male,0,0.0
,nz_labor_unemployment_rate_age15_plus_female,0,0.0
,nz_labor_unemployment_rate_age15_plus_male,0,0.0
,nz_labor_unemployment_rate_age15_plus_total,0,0.0
